name,price,description,image_urls
Gold Kundan Green Beaded Dangler Earrings,700,Give your festive look the perfect finishing touch with this pair of classic and timeless chandbali earrings It features a kundanencrusted floral motif with a green bead drop center and clusters of white beads   Style Tip Pull your hair up in a neat bun to flaunt these beauties   Disclaimer Our jewellery is handcrafted using natural stones which inherently vary in size color and Shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique,"https://img.faballey.com/images/Product/ZEA00484/d3.jpg,https://img.faballey.com/images/Product/ZEA00484/d4.jpg,https://img.faballey.com/images/Product/ZEA00484/d5.jpg,https://img.faballey.com/images/Product/ZEA00484/d6.jpg"
Silver Gold Sleek Hoop Earrings Set of 3,700,Classic and timeless amp up your everyday look with these hoop earrings They come in a set of three with a mix of goldplated and silver toned pieces   Style Tip Pair the hoops with an easybreezy kurta dress  Disclaimer Our jewelry is handcrafted using natural stones which inherently vary in size colour and Shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique  ,"https://img.faballey.com/images/Product/ZEA00339/d3.jpg,https://img.faballey.com/images/Product/ZEA00339/d4.jpg,https://img.faballey.com/images/Product/ZEA00339/d5.jpg"
Gold Textured Tie Wire Hoop Earrings,400,Sleek and ohsochic this pair of goldplated hoop earrings is an absolute style essential Crafted with a tiewire design these earrings are the perfect pick for AMtoPM elegance   Style Tip Wear the earrings with a sleek ponytail for a crisp look  Disclaimer Our jewelry is handcrafted using natural stones which inherently vary in size colour and Shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique  ,"https://img.faballey.com/images/Product/ZEA00375/d3.jpg,https://img.faballey.com/images/Product/ZEA00375/d4.jpg,https://img.faballey.com/images/Product/ZEA00375/d5.jpg,https://img.faballey.com/images/Product/ZEA00375/d6.jpg"
Gold Kundan Crystal Jhumki Earrings,700,Type Jhumka  Color Gold White  Composition Alloy Stone Beads  Closure Push Back  Length  40 Mm,"https://img.faballey.com/images/Product/ZEA00349/d3.jpg,https://img.faballey.com/images/Product/ZEA00349/d4.jpg,https://img.faballey.com/images/Product/ZEA00349/d5.jpg,https://img.faballey.com/images/Product/ZEA00349/d6.jpg"
Gold Multishape Hoop Earrings Set of 3,650,Take your everyday look from drab to fab with these goldplated hoop earrings These come in a set of three with a mix of playful shapes   Style Tip Pair the earrings with a black formal shirt and a stack of bracelets  Disclaimer Our jewelry is handcrafted using natural stones which inherently vary in size colour and Shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique,"https://img.faballey.com/images/Product/ZEA00338/d3.jpg,https://img.faballey.com/images/Product/ZEA00338/d4.jpg,https://img.faballey.com/images/Product/ZEA00338/d5.jpg"
Gold Chain Half Circle Dangler Earrings,325,Type Dangler  Color Golden  Composition Brass  Closure Ear wire  Length  50 Mm,"https://img.faballey.com/images/Product/ZEA00394/d3.jpg,https://img.faballey.com/images/Product/ZEA00394/d4.jpg,https://img.faballey.com/images/Product/ZEA00394/d5.jpg,https://img.faballey.com/images/Product/ZEA00394/d6.jpg"
Gold Silver Hoop Earrings Set of 3,700,Amp up your everyday style with these playfully shaped hoop earrings They come in a set of three with a mix of goldplated and silvertoned pieces   Style Tip Pair the hoops with a collared shirt and tapered pants  Disclaimer Our jewelry is handcrafted using natural stones which inherently vary in size colour and Shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique  ,"https://img.faballey.com/images/Product/ZEA00337/d3.jpg,https://img.faballey.com/images/Product/ZEA00337/d4.jpg,https://img.faballey.com/images/Product/ZEA00337/d5.jpg"
Gold Black Drop Tiered Dangler Earrings,550,Type Dangler  Color Gold Black  Composition Brass Beads  Closure Ear wire  Length  75 Mm,"https://img.faballey.com/images/Product/ZEA00436/d3.jpg,https://img.faballey.com/images/Product/ZEA00436/d4.jpg,https://img.faballey.com/images/Product/ZEA00436/d6.jpg"
Gold Red Kundan Drop Bead Dangler Earrings,800,Enliven your festive look with this pair of traditional goldplated kundan dangler earrings It features a kundan encrusted floral motif encircled with faux white beads and a red bead drop   Style Tip Complete the look with a centerparted low bun and a gajra   Disclaimer Our jewelry is handcrafted using natural stones which inherently vary in size color and shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique,"https://img.faballey.com/images/Product/ZEA00431/d3.jpg,https://img.faballey.com/images/Product/ZEA00431/d4.jpg,https://img.faballey.com/images/Product/ZEA00431/d5.jpg,https://img.faballey.com/images/Product/ZEA00431/d6.jpg"
Gold Kundan Crescent Jhumki Earrings,1000,Type Dangler  Color Gold White Red  Composition Alloy Beads  Closure Push Back  Length  60 Mm,"https://img.faballey.com/images/Product/ZEA00305/d3.jpg,https://img.faballey.com/images/Product/ZEA00305/d4.jpg,https://img.faballey.com/images/Product/ZEA00305/d5.jpg,https://img.faballey.com/images/Product/ZEA00305/d6.jpg"
Gold Kundan Red Beads Chandbali Earrings,725,Classic chandbali earrings get a pop finish with this pair Encrusted with kundan stones these goldplated earrings feature a floral motif and charming red beads   Style Tip Complete the look with a redbeaded maangtika  Disclaimer Our jewelry is handcrafted using natural stones which inherently vary in size colour and Shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique  ,"https://img.faballey.com/images/Product/ZEA00470/d3.jpg,https://img.faballey.com/images/Product/ZEA00470/d4.jpg,https://img.faballey.com/images/Product/ZEA00470/d5.jpg,https://img.faballey.com/images/Product/ZEA00470/d6.jpg"
Gold Green Kundan Meena Dangler Earrings,925,Thoughtfully designed with a mix of delicate filigree enchanting meena work and the playfulness of white beads this pair of dangler earrings is a statement in itself It features gold plating green enamel work and tiers of white beads   Style Tip Pull your hair black in a soft bun to flaunt these beauties  Disclaimer Our jewelry is handcrafted using natural stones which inherently vary in size colour and Shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique  ,"https://img.faballey.com/images/Product/ZEA00352/d3.jpg,https://img.faballey.com/images/Product/ZEA00352/d4.jpg,https://img.faballey.com/images/Product/ZEA00352/d5.jpg,https://img.faballey.com/images/Product/ZEA00352/d6.jpg"
